source_id,target_id,relationship_type
S0567,T1036.005,uses
D3-SCA,D3-TAC-DETECT,belongs_to_tactic
S1064,T1027,uses
S0538,T1053.005,uses
S1065,T1204.002,uses
G0047,T1059.001,uses
S0378,T1090,uses
S1086,T1027,uses
S1017,T1071.001,uses
G0081,T1132.001,uses
S0223,T1016,uses
G1006,T1112,uses
M1031,T1102.003,mitigates
S0123,T1569.002,uses
DA-ACCESS-CONTROL-CONFIGURATION,OA-GROUP-POLICY,targets
M1015,T1606.002,mitigates
G0115,T1219,uses
S0368,T1518.001,uses
G0034,S1010,uses
S0266,T1566.001,uses
S1159,T1059.003,uses
G0034,T1036.005,uses
G0052,T1560.001,uses
S1137,T1486,uses
S0250,T1055.001,uses
S1135,T1529,uses
S0401,T1027.013,uses
T1569,Execution,belongs_to_tactic
S0582,T1547.001,uses
S0234,T1105,uses
S0404,T1570,uses
S1100,T1090.003,uses
G1003,S0521,uses
S1166,T1132.001,uses
S0477,T1027.001,uses
S9032,T1059.001,uses
D3-CREDENTIAL-SCRUBBING,D3-TAC-HARDEN,belongs_to_tactic
S1027,T1055.001,uses
DET0159,T1219.003,detects
M1056,T1597,mitigates
M1031,T1602,mitigates
S9019,T1685,uses
S1190,T1082,uses
G1022,T1074.002,uses
M1042,T1011,mitigates
S0629,T1113,uses
DET0120,T1531,detects
S0634,T1204.002,uses
S0154,T1218.011,uses
G1055,T1078,uses
S1039,T1218.011,uses
M1040,T1137,mitigates
G0114,T1059.003,uses
S0345,T1036.004,uses
S0687,T1071.001,uses
S0196,T1071.001,uses
G1016,T1560.001,uses
S1198,T1059.004,uses
G0035,T1053.005,uses
G0082,T1070.004,uses
S0665,T1204.002,uses
S1240,T1059.011,uses
DET0502,T1564,detects
S0001,T1542.001,uses
C0063,T1105,uses
